Feature,Coefficient
texture_worst,1.350605592262332
radius_se,1.2681781455073837
symmetry_worst,1.208200306931779
concave points_mean,1.119804075650286
concavity_worst,0.9430531344506451
area_se,0.9071857032866866
radius_worst,0.8798402352507747
area_worst,0.8418459407075649
concavity_mean,0.8014580988560316
concave points_worst,0.778217263483891
compactness_se,-0.6824914543472076
fractal_dimension_se,-0.6162299296594602
perimeter_se,0.6105830174385627
perimeter_worst,0.5894527319656223
smoothness_worst,0.5441696698296035
compactness_mean,-0.5401639468319589
symmetry_se,-0.5004250240524782
area_mean,0.46521006076360616
radius_mean,0.431903677774338
perimeter_mean,0.39343247642496104
texture_mean,0.3873255311413917
smoothness_se,0.3133067534877975
concave points_se,0.31129989981522505
symmetry_mean,-0.23611851556028743
texture_se,-0.18887738010991248
concavity_se,-0.17527451713672224
fractal_dimension_worst,0.15741386700798135
fractal_dimension_mean,-0.07592092813647418
smoothness_mean,0.07166727707542135
compactness_worst,-0.016110194289949798
